LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
Cranford Pharmacy Limited,Cranford Pharmacy,Canterbury DHB,,115 Sherborne Street,St Albans,CHRISTCHURCH,8014
Cranwells Pharmacy (2011) Limited,Cranwell's Pharmacy (2011) Limited,Auckland DHB,,573 Remuera Road,Remuera,Auckland,1050
Crisp's Healthy Living Pharmacy Limited,Unichem Crisps Pharmacy,Canterbury DHB,Shop 2,283 Wairakei Road,Bryndwr,Christchurch,8041
Cromwell Pharmacy (2008) Limited,Cromwell Pharmacy (2008) Limited,Southern DHB,,22 The Mall,,CROMWELL,9310
Cziharz (NZ) Limited,Gonville Pharmacy,Whanganui DHB,,121 Alma Road,Gonville,WHANGANUI,4501
D & L Bell Limited,Sumner Pharmacy,Canterbury DHB,,17 Wakefield Avenue,Sumner,CHRISTCHURCH,8081
D and M Savage Limited,Henderson Valley Pharmacy,Waitemata DHB,,249 Henderson Valley Road,Henderson,Auckland,0612
D. H. Saunders Pharmacy Limited,Conifer Grove Pharmacy,Counties Manukau DHB,"Units 1 & 2, Midas Mulligan House",64 Walter Strevens Drive,Takanini,AUCKLAND,2112
DBS Pharmacy Limited,Girven Road Pharmacy,Bay of Plenty DHB,"Shop 3, Ground Floor",77 Girven Road,,Mount Maunganui,3116
DBS Pharmacy Limited,Great Barrier Pharmacy,Auckland DHB,,117 Hector Sanderson Road,RD 1,GREAT BARRIER ISLAND,0991
Dannemora Community Pharmacy Limited,Unichem Dannemora Pharmacy,Counties Manukau DHB,,"Unit B, 1 Redcastle Drive",East Tamaki,AUCKLAND,2013
David Roscoe Dispensing Limited,Kentra Medication Centre Onslow,Capital and Coast DHB,,125 Moorefield Road,Johnsonville,WELLINGTON,6037
Davies Corner Pharmacy Limited,Unichem Davies Corner Pharmacy,Waikato DHB,,29 Hukanui Road,Fairfield,HAMILTON,3214
Davies Corner Pharmacy Limited,Unichem Ti Rakau Drive Pharmacy,Counties Manukau DHB,,316 Ti Rakau Drive,Burswood,AUCKLAND,2013
Dawson Road Pharmacy (2006) Limited,Dawson Road Pharmacy,Counties Manukau DHB,,124A Dawson Road,Clover Park,Auckland,2023
Devon St West Pharmacy Limited,Devon West Pharmacy,Taranaki DHB,,283 Devon St West,,NEW PLYMOUTH,4310
Devonport Family Pharmacy Limited,Helen Scott Pharmacy,Waitemata DHB,Ground Floor,"Shop 2, 63 Lake Road",Devonport,Auckland,0624
Dinsdale Community Pharmacy Limited,Unichem Dinsdale Pharmacy,Waikato DHB,,27C Whatawhata Road,Dinsdale,HAMILTON,3204
Discovery Pharmacy (2016) Limited,Unichem Miramar Pharmacy,Capital and Coast DHB,,58 Miramar Avenue,Miramar,Wellington,6022
Dispensary Plus Limited,Dispensary Plus Pharmacy,Waitemata DHB,,411 Great North Road,Henderson,AUCKLAND,0610
Dispensary Plus Limited,Unimart & Pharmacy @ Massey University,Waitemata DHB,,151 Dairy Flat Highway,Albany,AUCKLAND,0632
Dodds Pharmacy Limited,Merivale Medical Pharmacy,Canterbury DHB,,236 Papanui Road,Strowan,CHRISTCHURCH,8014
Dominion Road Pharmacy Limited,Dominion Road Pharmacy,Auckland DHB,,123D Dominion Road,Mt. Eden,AUCKLAND,1024
Don Street Pharmacy Limited,Don Street Pharmacy,Southern DHB,,103 Don Street,,INVERCARGILL,9810
Donna Kerr Pharmacy Limited,Life Pharmacy Donna Kerr,Southern DHB,,48 Windsor Street,Windsor,INVERCARGILL,9810
Downtown Pharmacy Mt Maunganui Limited,Downtown Pharmacy Mt Maunganui,Bay of Plenty DHB,,152 Maunganui Road,Mt Maunganui,TAURANGA,3116
Downtown Pharmacy Mt Maunganui Limited,The Crossing Pharmacy,Bay of Plenty DHB,"Shop RG-12, Tauranga Crossing",2 Taurikura Drive,Tauriko,Tauranga,3110
Drapac Pharmacy Limited,Drapac Pharmacy 360,Auckland DHB,,360C1 Dominion Road,Mount Eden,Auckland,1024
Duke St Pharmacy 2017 Limited,Duke St Pharmacy,Waikato DHB,,71 Duke Street,,Cambridge,3434
Dunedin City Pharmacy Limited,Dunedin City Pharmacy Limited,Southern DHB,,22 Princes Street,Dunedin Central,DUNEDIN,9010
EQP 2012 Limited,Eden Quarter Pharmacy,Auckland DHB,,296A Dominion Road,Mt Eden,AUCKLAND,1024
East Street Pharmacy 2013 Limited,East Street Pharmacy 2013 Limited,Canterbury DHB,,182 East Street,,Ashburton,7700
East Tamaki Pharmacy 2015 Limited,East Tamaki Pharmacy,Counties Manukau DHB,,277 East Tamaki Road,Otara,Auckland,2023
Eastbourne Pharmacy (1998) Limited,Eastbourne Pharmacy (1998) Limited,Hutt Valley DHB,,5 Rimu Street,Eastbourne,LOWER HUTT,5013
Eastmed Pharmacy 2015 Limited,Eastmed Pharmacy,Auckland DHB,,188 St Heliers Bay Road,St Heliers,AUCKLAND,1071
Eastridge Pharmacy 2018 Limited,Life Pharmacy Eastridge,Auckland DHB,"Shop 24, Eastridge Mall",215 Kepa Road,Mission Bay,Auckland,1071
Ell's Pharmacy (1991) Limited,Buller Pharmacy,West Coast DHB,,168 Palmerston Street,,Westport,7825
Ellerslie Pharmacy (2012) Limited,Unichem Ellerslie,Auckland DHB,,125 Main Highway,Ellerslie,AUCKLAND,1051
Elmwood Pharmacy 2008 Limited,Unichem Elmwood Pharmacy,Canterbury DHB,,3 Normans Road,Strowan,CHRISTCHURCH,8052
Elstree Pharmacy (2006) Limited,Elstree Pharmacy (2006) Limited,Auckland DHB,,145 West Tamaki Road,Glen Innes,Auckland,1072
Elwyn Bates Group Limited,Bates Pharmacy,Southern DHB,,Shop 40A Clyde Street,,BALCLUTHA,9230
Encounter Health Limited,McIntosh Pharmacy,Canterbury DHB,,135 St Albans Street,St Albans,Christchurch,8014
Epsom Pharmacy 2008 Limited,Epsom Pharmacy 2008 Limited,Auckland DHB,,641 Manukau Road,Royal Oak,Auckland,1023
Epsompharmacy Limited,Epsom Medical Care Pharmacy,Auckland DHB,Shop 1,272 Manukau Road,Epsom,AUCKLAND,1023
Everhealth Care Limited,Everhealth Pharmacy,Waikato DHB,,28 Ailsa Street,,Te Kuiti,3910
Ewart Douglas Limited,Ewart Douglas Pharmacy,Canterbury DHB,,403 Ilam Road,Bryndwr,Christchurch,8053
FB Pharmacy Limited,Dispensary Plus Pharmacy Birkenhead,Waitemata DHB,,4 Rawene Road,Birkenhead,AUCKLAND,0626
FTB Healthcare Limited,Healthcare Pharmacy Rosedale,Waitemata DHB,,Unit 17/94 Rosedale Road,Rosedale,Auckland,0632
Fairy Springs Medical Centre Pharmacy Limited,Unichem Fairy Springs Pharmacy,Lakes DHB,,10/100 Fairy Springs Road,Fairy Springs,Rotorua,3015
Families Pharmacy Limited,Pharmacy 72,Waitemata DHB,,72 East Coast Road,Milford,Auckland,0620
Family Care 7 Day Pharmacy Limited,Unichem Bairds Pharmacy,Counties Manukau DHB,,"Unit 2, 3 Watford Street",Otara,Auckland,2023
Family Health Care Pharmacy Limited,Unichem Family Healthcare Pharmacy,Auckland DHB,,"Unit 4, 627 Mt Wellington Highway",Mt Wellington,AUCKLAND,1062
Far North Pharmacy Limited,Far North Pharmacy,Northland DHB,,53 Commerce Street,,Kaitaia,0410
Faulkners Pharmacy Te Puke Limited,MyPharmacy Te Puke,Bay of Plenty DHB,,96 Jellicoe Street,,Te Puke,3119
Feilding Health Pharmacy 2018 Limited,Central Feilding Pharmacy,MidCentral DHB,,45 Kimbolton Road,,Feilding,4702
Feilding Health Pharmacy 2018 Limited,Feilding Health Pharmacy,MidCentral DHB,,7 Duke Street,,Feilding,4702
Feilding Health Pharmacy 2018 Limited,Feilding Health Smiths Pharmacy,MidCentral DHB,,1 Manchester Square,,Feilding,4740
Fenataff Limited,Hillsborough Pharmacy,Auckland DHB,,163A Hillsborough Road,Hillsborough,Auckland,1042
Fendalton Pharmacy Limited,Fendalton Mall Pharmacy,Canterbury DHB,"Shop 2, Fendalton Mall",19 - 23 Memorial Avenue,Ilam,Christchurch,8053
Ferrymead Pharmacy (2009) Limited,Pharmacy @ Ferrymead,Canterbury DHB,,"Units 1 & 2, Stage 2 Building, 1005 Ferry Road",Ferrymead,CHRISTCHURCH,8023
Fiordland Community Pharmacy Limited,Fiordland Community Pharmacy,Southern DHB,,70B Town Centre,Te Anau,SOUTHLAND,9600
Five Mile Pharmacy Queenstown Limited,Five Mile Pharmacy Queenstown,Southern DHB,Shop 7,32 Grant Road,Frankton,Queenstown,9371
Flagstaff Pharmacy Limited,Flagstaff Pharmacy Limited,Waikato DHB,,1158 River Road,Flagstaff,HAMILTON,3210
Flat Bush Medical Centre Pharmacy Limited,Flat Bush Medical Centre Pharmacy,Counties Manukau DHB,,201 Murphys Road,Flat Bush,Auckland,2019
Flaxmere Pharmacy (2000) Limited,Flaxmere Pharmacy (2000) Limited,Hawkes Bay DHB,"Shop 12,  Flaxmere Village",Swansea Road,Flaxmere,HASTINGS,4120
Flosun Alpha Limited,Bastins Pharmacy,Canterbury DHB,,254A Cranford Street,St Albans,Christchurch,8052
Flosun Alpha Limited,Mairehau Pharmacy,Canterbury DHB,,1/422 Innes Road,Mairehau,Christchurch,8052
Forbury Pharmacy (2004) Limited,Forbury Pharmacy (2004) Limited,Southern DHB,,615 Hillside Road,Caversham,Dunedin,9012
Forrest Hill Family Pharmacy Limited,Forrest Hill Family Pharmacy,Waitemata DHB,,Shop 7/1 Grenada Avenue,Forrest Hill,Auckland,0620
Franklin Pharmacy Limited,Franklin Medical Pharmacy,Counties Manukau DHB,,57 Seddon Street,,Pukekohe,2120
Franklins Pharmacy 2006 Limited,Life Pharmacy Franklin's,Waitemata DHB,,"Ground Floor, 48 Queen Street",,WARKWORTH,0910
Frankton Pharmacy (2016) Limited,Frankton Pharmacy,Waikato DHB,,161-163 Commerce Street,Frankton,Hamilton,3204
Fred Thomas Pharmacy (2015) Limited,Unichem Fred Thomas Pharmacy,Waitemata DHB,,2 Fred Thomas Drive,Takapuna,AUCKLAND,0622
Freemans Bay Pharmacy (2007) Limited,Freemans Bay Pharmacy,Auckland DHB,Shop 1,100 Wellington Street,Freemans Bay,AUCKLAND,1011
Fry's Pharmacy Limited,Fry's Pharmacy,Nelson Marlborough DHB,"Suite 3, Ground Floor",355 Lower Queen Street,,RICHMOND,7020
G & G Pharmacy Limited,Westend Pharmacy,Waikato DHB,,38 Tuhikaramea Road,Dinsdale,HAMILTON,3204
GDL Rx No1 Limited,Countdown Pharmacy Browns Bay,Waitemata DHB,,24 Anzac Road,Browns Bay,AUCKLAND,0630
GDL Rx No1 Limited,Countdown Pharmacy Mt Roskill,Auckland DHB,,112 Stoddard Road,Mt Roskill,AUCKLAND,1041
GDL Rx No1 Limited,Countdown Pharmacy Newtown,Capital and Coast DHB,,3 John Street,Mount Cook,WELLINGTON,6021
GDL Rx No1 Limited,Countdown Pharmacy Petone,Hutt Valley DHB,,45 Jackson Street,Petone,Lower Hutt,5012
GDL Rx No1 Limited,Countdown Pharmacy Rangitikei,MidCentral DHB,,249 Rangitikei Street,,Palmerston North,4410
GDL Rx No2 Limited,Countdown Pharmacy Cambridge,Waikato DHB,,97 Queen Street,,Cambridge,3434
GDL Rx No2 Limited,Countdown Pharmacy Eastgate,Canterbury DHB,,6 Buckleys Road,Linwood,CHRISTCHURCH,8062
GDL Rx No2 Limited,Countdown Pharmacy Ferrymead,Canterbury DHB,,999 Ferry Road,Ferrymead,CHRISTCHURCH,8023
GDL Rx No2 Limited,Countdown Pharmacy Invercargill,Southern DHB,,172 Tay Street,,INVERCARGILL,9810
GDL Rx No2 Limited,Countdown Pharmacy Lincoln Road,Waitemata DHB,,185-187 Universal Drive,Henderson,Auckland,0610
GDL Rx No3 Limited,Countdown Pharmacy Botany,Counties Manukau DHB,,475 Ti Rakau Drive,Golflands,Auckland,2013
GDL Rx No3 Limited,Countdown Pharmacy Church Corner,Canterbury DHB,,361 Riccarton Road,Upper Riccarton,CHRISTCHURCH,8041
GDL Rx No3 Limited,Countdown Pharmacy Claudelands,Waikato DHB,,160 Peachgrove Road,Hamilton East,HAMILTON,3216
GDL Rx No3 Limited,Countdown Pharmacy Mt Eden,Auckland DHB,,118 - 120 Valley Road,Mt Eden,Auckland,1024
GDL Rx No3 Limited,Countdown Pharmacy Ponsonby,Auckland DHB,,4 Williamson Avenue,Grey Lynn,Auckland,1021
GDL Rx No4 Limited,Countdown Pharmacy Ashburton,Canterbury DHB,,2 East Street,,Ashburton,7700
GDL Rx No4 Limited,Countdown Pharmacy Dunedin Central,Southern DHB,,309 Cumberland Street,Dunedin Central,Dunedin,9016
GDL Rx No4 Limited,Countdown Pharmacy Fraser Cove,Bay of Plenty DHB,,243 Fraser Street,Tauranga South,Tauranga,3112
GDL Rx No4 Limited,Countdown Pharmacy Greenlane,Auckland DHB,,326 Great South Road,Greenlane,Auckland,1051
GDL Rx No4 Limited,Countdown Pharmacy Rolleston,Canterbury DHB,,64 Rolleston Street,,Rolleston,7614
GDL Rx No5 Limited,Countdown Pharmacy Lynfield,Auckland DHB,,570 Hillsborough Road,Mount Roskill,Auckland,1041
GDL Rx No5 Limited,Countdown Pharmacy Northlands,Canterbury DHB,,71 Main Road North,Papanui,Christchurch,8052
GDL Rx No5 Limited,Countdown Pharmacy Pukekohe South,Counties Manukau DHB,,186-192 Manukau Road,,Pukekohe,2120
GDL Rx No5 Limited,Countdown Pharmacy Spotswood,Taranaki DHB,,6 Manadon Street,Spotswood,New Plymouth,4310
GDL Rx No5 Limited,Countdown Pharmacy Victoria Ave,Whanganui DHB,,433 Victoria Avenue,,Whanganui,4500
GDL Rx No6 Limited,Countdown Pharmacy Bayfair,Bay of Plenty DHB,,19 Girven Road,,Mount Maunganui,3116
GDL Rx No6 Limited,Countdown Pharmacy Lower Hutt,Hutt Valley DHB,,261 High Street,Hutt Central,Lower Hutt,5010
GDL Rx No6 Limited,Countdown Pharmacy Porirua,Capital and Coast DHB,,1 Parumoana Street,,Porirua,5022
GPR Investments Limited,The Pharmacy @ Addington,Canterbury DHB,,348 Lincoln Road,Addington,CHRISTCHURCH,8024
GPR Investments Limited,The Pharmacy @ Phillipstown,Canterbury DHB,,270 Ferry Road,Waltham,CHRISTCHURCH,8011
GPR Investments Limited,The Pharmacy @ St Georges,Canterbury DHB,Ground Floor of Canon Wilford Wing of St George's Hospital,249 Papanui Road,Strowan,Christchurch,8014
GTG Pharmacy Limited,Oakura Pharmacy,Taranaki DHB,,1132 South Road,,OAKURA,4314
Gary Logan Pharmacy Limited,Gary Logan Pharmacy Limited,Counties Manukau DHB,,121 King Street,Pukekohe,Auckland,2120
Gate Pa Village Pharmacy Limited,Gate Pa Village Pharmacy,Bay of Plenty DHB,,17A Courtney Road,Gate Pa,Tauranga,3112
Geraldine Pharmacy (2015) Limited,Geraldine Pharmacy,South Canterbury DHB,,22 & 24 Talbot Street,,Geraldine,7930
Gilmour's Havelock North Pharmacy Limited,Gilmour's Havelock North Pharmacy,Hawkes Bay DHB,,13 Middle Road,,Havelock North,4130
Gladstone Pharmacy Limited,Gladstone Pharmacy Limited,Southern DHB,Shop 1,1 Herbert Street,Gladstone,INVERCARGILL,9810
Gladstone Pharmacy Parnell Limited,Gladstone Pharmacy,Auckland DHB,,72 Gladstone Road,Parnell,Auckland,1052
Glendene Community Pharmacy Limited,Unichem Glendene Pharmacy,Waitemata DHB,Shop 1a,4343 Great North Road,Glendene,Auckland,0602
Glendowie Healthcare Pharmacy Limited,Unichem Glendowie Pharmacy,Auckland DHB,,95 Ashby Avenue,St Heliers,Auckland,1071
Glenfield 7 Day Pharmacy (2006) Limited,Glenfield 7 Day Pharmacy,Waitemata DHB,,5/407 Glenfield Road,Glenfield,Auckland,0629
Glenfield Family Pharmacy Limited,Unichem Dennis Hanna Pharmacy,Waitemata DHB,Shop 1,575 Glenfield Road,Glenfield,Auckland,0629
Glenfield Mall Pharmacy Limited,Life Pharmacy Glenfield,Waitemata DHB,"Shop 228, Westfield Mall Glenfield",75 Bentley Avenue,Glenfield,AUCKLAND,0629
Glengarry Pharmacy 2018 Limited,Glengarry Pharmacy,Southern DHB,,73 Glengarry Crescent,Glengarry,Invercargill,9810
Glengarry Pharmacy 2018 Limited,Windsor Pharmacy,Southern DHB,,12 Windsor Street,Windsor,Invercargill,9810
Glenns Pharmacy Limited,Glenns Pharmacy Limited,Hawkes Bay DHB,,245 Gloucester Street,Taradale,NAPIER,4112
Glenview Pharmacy Limited,Unichem Glenview Medical Pharmacy,Waikato DHB,,1 Urlich Avenue,Melville,Hamilton,3206
Glenview Pharmacy Limited,Unichem Glenview Pharmacy,Waikato DHB,,143 Ohaupo Road,Melville,Hamilton,3206
Godderidges Pharmacy Limited,Godderidges Pharmacy Limited,Taranaki DHB,,62 Weraroa Road,,Waverley,4510
Golden Sands Pharmacy Limited,Unichem Excelsa Pharmacy,Bay of Plenty DHB,Tenancy 2,5 Golden Sands Drive,Papamoa Beach,PAPAMOA,3118
Golf Road Pharmacy 2003 Limited,Unichem Golf Road Pharmacy,Waitemata DHB,,174 Golf Road,Titirangi,AUCKLAND,0604
Gonville Health Pharmacy Limited,Gonville Health Pharmacy Limited,Whanganui DHB,,44 Abbot Street,Gonville,Whanganui,4501
Good To Be Home Limited,Home Pharmacy,Auckland DHB,,"Unit 6, 280 Richmond Road",Grey Lynn,AUCKLAND,1021
Gopal's Pharmacy Limited,Gopal's Pharmacy Limited,Auckland DHB,,553 Great North Road,Grey Lynn,Auckland,1021
Goundar's Pharmacy Limited,St George Pharmacy,Counties Manukau DHB,,28 - 30 St George Street,Papatoetoe,AUCKLAND,2025
Graamans Health Development Limited,Waihemo Pharmacy,Southern DHB,,132 Ronaldsay Street,,PALMERSTON,9340
Graeme Smith Pharmacy Limited,Life Pharmacy Rangiora,Canterbury DHB,,172 - 176 High Street,,Rangiora,7400
Grafton Pharmacy Limited,Grafton Pharmacy,Auckland DHB,,29 Park Road,Grafton,Auckland,1023
Grand View Pharmacy Limited,West Hamilton Pharmacy,Waikato DHB,"Unit D, New Nawton Shopping Centre",Corner Grandview Road & Hyde Avenue,Nawton,HAMILTON,3200
Grant Irvine Pharmacy Limited,Grant Irvine Pharmacy Limited,MidCentral DHB,,168 Albert Street,Hokowhitu,PALMERSTON NORTH,4410
Green Bay Pharmacy (2005) Limited,Green Bay Pharmacy (2005) Limited,Waitemata DHB,,64B Godley Road,Green Bay,AUCKLAND,0604
Green Island Boutique Pharmacy Limited,Green Island Boutique Pharmacy,Southern DHB,,195B Main South Road,Green Island,Dunedin,9018
Greenhithe Pharmacy Limited,Unichem Greenhithe Pharmacy,Waitemata DHB,,"Shop 2, 8 Greenhithe Road",Greenhithe,AUCKLAND,0632
Greenlane Pharmacy (2004) Limited,Unichem Greenlane Pharmacy,Auckland DHB,,225 Great South Road,Greenlane,Auckland,1051
Greerton Pharmacy (2012) Limited,Unichem Greerton Pharmacy,Bay of Plenty DHB,,221 Chadwick Road,Greerton,Tauranga,3112
Grey Lynn Amcal Pharmacy Limited,Unichem Grey Lynn Pharmacy,Auckland DHB,,580 Great North Road,Grey Lynn,AUCKLAND,1021
Greytown Pharmacy Limited,Greytown Pharmacy Limited,Wairarapa DHB,North Shop,86 Main Street,,GREYTOWN,5712
Guthries Pharmacy Limited,Life Pharmacy Pakuranga,Counties Manukau DHB,"Shop 128, Pakuranga Plaza,",Corner Pakuranga Road & Ti Rakau Drive,Pakuranga,Auckland,2010
Guys Pharmacy (2001) Limited,Counties Care Pharmacy,Counties Manukau DHB,Shop 2,6-18 O'Shannessey Street,,Papakura,2110
Guys Pharmacy (2001) Limited,Life Pharmacy Papakura,Counties Manukau DHB,Roselands Shopping Centre,1/94 and 96-98 Great South Road,,Papakura,2110
Halswell Pharmacy Limited,Halswell Pharmacy,Canterbury DHB,,"Unit 1, 29 Ensign Street",Halswell,Christchurch,8025
Hamilton Central Pharmacy Limited,Hamilton Central Pharmacy,Waikato DHB,Shop 1,131 Pembroke Street,Hamilton Lake,Hamilton,3204
Hamilton East Pharmacy Limited,Hamilton East Pharmacy,Waikato DHB,,14 Beale Street,Hamilton East,HAMILTON,3216
Hamilton Pharmacy 2011 Limited,Hamilton Pharmacy,Waikato DHB,,2/750 Victoria Street,Hamilton Central,HAMILTON,3204
Hamish Barham Pharmacy Limited,Hamish Barham Pharmacy Limited,MidCentral DHB,,80 Main Street,,Otaki,5512
Hanafins Pharmacy Limited,Hanafins Pharmacy,Canterbury DHB,,"Shop 8, 62 Riccarton Road",Riccarton,CHRISTCHURCH,8011
Happyout Limited,University Pharmacy Canterbury,Canterbury DHB,"Unit 6, James Hight Undercroft","University of Canterbury, University Drive",Ilam,Christchurch,8041
Harbour City Pharmacy (2011) Limited,Unichem Cuba Mall Pharmacy,Capital and Coast DHB,,120 Cuba Street,Te Aro,WELLINGTON,6011
Hardings Chemists(2003) Limited,Cashmere Pharmacy,Canterbury DHB,,91 Centaurus Road,Huntsbury,Christchurch,8022
Hardings Chemists(2003) Limited,Hardings Chemist and Post,Canterbury DHB,,135 Colombo Street,Sydenham,Christchurch,8023
Hardings Chemists(2003) Limited,Hardings Pharmacy,Canterbury DHB,,167 Colombo Street,Sydenham,Christchurch,8023
Hardy St Pharmacy Limited,Hardy Street Pharmacy,Nelson Marlborough DHB,,131 Hardy Street,,NELSON,7010
Harold S Moyle (1994) Limited,Moyle's Pharmacy,South Canterbury DHB,,6 Dee Street,,TIMARU,7910
Harris Road Pharmacy 2018 Limited,Harris Road Pharmacy,Auckland DHB,,Shop 7/2 Harris Road,Mount Wellington,Auckland,1051
Hasan Abdel Rahman,Brockville Pharmacy,Southern DHB,,283 Brockville Road,Brockville,DUNEDIN,9011
Hasan Pharmacy Limited,Fairfield Pharmacy,Waikato DHB,,1007 Heaphy Terrace,Fairfield,Hamilton,3214
Hastings District United Friendly Societies Association,Hastings UFS Dispensary,Hawkes Bay DHB,,308 Heretaunga Street East,,HASTINGS,4122
Hastings Pharmacy (2013) Limited,Life Pharmacy Hastings,Hawkes Bay DHB,Ground Floor,205 Heretaunga Street West,Hastings,HAWKES BAY,4122
Hastings Pharmacy Limited,Unichem Hastings Pharmacy,Hawkes Bay DHB,Shop 2,600 Heretaunga Street West,St Leonards,HASTINGS,4120
Hastings Plaza Pharmacy Limited,Bay Plaza Pharmacy,Hawkes Bay DHB,,"Shop 14, Hastings Plaza",221 Russell Street North,Hastings,4122
Hauraki Corner Pharmacy Limited,Hauraki Corner Pharmacy Limited,Waitemata DHB,,349 Lake Road,Hauraki,AUCKLAND,0622
Hawke's Bay District Health Board,Hawke's Bay Hospital Pharmacy,Hawkes Bay DHB,,Omahu Road,,Hastings,4120
Hawkes Bay Pharmacies Limited,Life Pharmacy Coastlands,Capital and Coast DHB,"Shop 6, Coastlands Shoppingtown",Main Road,,PARAPARAUMU,5032
Hawkes Bay Pharmacies Limited,Unichem Stortford Lodge Pharmacy,Hawkes Bay DHB,,1107 Heretaunga Street West,Saint Leonards,HASTINGS,4120
Hawkes Bay United Friendly Societies Dispensary,Unichem UFS Pharmacy (HB),Hawkes Bay DHB,,265 Emerson Street,Napier South,Napier,4110
Health & Beauty Limited,Goldfields Pharmacy and Photo Centre,Waikato DHB,"Shop 48, 17 and 18 Goldfields Shopping Centre",100 Mary Street,,Thames,3500
Health New Lynn 7 Day Pharmacy Limited,Health New Lynn 7 Day Pharmacy,Waitemata DHB,Tenancy 01,1 McCrae Way,New Lynn,Auckland,0600
Health Plus Pharmacy Limited,Health Plus Pharmacy,Counties Manukau DHB,,578 Great South Road,Manukau,AUCKLAND,2025
Health Star Pharmacy Limited,Health Star Pharmacy,Auckland DHB,,136 Queens Road,Panmure,AUCKLAND,1072
Healthtrack Pharmacy Limited,Bruce Amies Pharmacy,Auckland DHB,,4 Avondale Road,Avondale,Auckland,1026
Healthworks 2016 Limited,HealthWorks Pharmacy,Canterbury DHB,,108 Memorial Avenue,Burnside,Christchurch,8053
Hei Hei Pharmacy Limited,Hei Hei Pharmacy Limited,Canterbury DHB,,34 Wycola Avenue,Hei Hei,CHRISTCHURCH,8042
Helensville Pharmacy (2008) Limited,Unichem Helensville Pharmacy,Waitemata DHB,,50 Commercial Road,,Helensville,0800
Henderson Discount Pharmacy Limited,Henderson Discount Pharmacy,Waitemata DHB,,383 Great North Road,Henderson,Auckland,0612
Henderson Medical Centre Pharmacy Limited,Henderson Medical Centre Pharmacy Limited,Waitemata DHB,,"Unit E, 2-4 Montel Avenue",Henderson,AUCKLAND,0612
Henderson Pharmacy Limited,Life Pharmacy Henderson,Auckland DHB,"Shop 107, WestCity Waitakere", 7 Catherine Street,Henderson,Auckland,0612
Henry W Jasionowicz Limited,Newlands Pharmacy,Capital and Coast DHB,Shop 33,33 McMillan Court,Newlands,WELLINGTON,6037
Herne Bay Pharmacy Limited,Herne Bay Pharmacy,Auckland DHB,,210 Jervois Road,Herne Bay,Auckland,1011
Hickey's Pharmacy Limited,Unichem Hickey's Pharmacy,Waitemata DHB,,16A Moana Avenue,,Orewa,0931
Highfield Mall Pharmacy Limited,Unichem Highfield Mall,South Canterbury DHB,Shop 5 and 6,"Highfield Mall, 145 Wai-iti Road",,TIMARU,7910
Highland Pharmacy Central Limited,Highland Pharmacy Central,Southern DHB,,107 Scotland Street,,ROXBURGH,9500
Highpoint Pharmacy Limited,Unichem Birkenhead Pharmacy,Waitemata DHB,"Shop 28, Highbury Shopping Centre",Corner Highbury Bypass & Birkenhead Avenue,Birkenhead,AUCKLAND,0626
Hillcrest Central Pharmacy Limited,Hillcrest Central Pharmacy,Waitemata DHB,,66 Moore Street,Hillcrest,Auckland,0627
Hillcrest Family Pharmacy Limited,Unichem Sunnybrae Pharmacy,Waitemata DHB,,45 Sunnybrae Road,Glenfield,Auckland,0627
Hillcrest Pharmacy (2014) Limited,Hillcrest Healthcare Pharmacy,Waikato DHB,,153 Cambridge Road,Hillcrest,HAMILTON,3216
Hillmorton Pharmacy 2009 Limited,Hillmorton Pharmacy 2009 Limited,Canterbury DHB,,9 Halswell Road,Hillmorton,CHRISTCHURCH,8025
Hobson Street Pharmacy Limited,Hobson Street Pharmacy,Auckland DHB,,23 Union Street,Auckland Central,Auckland,1010
Hobsonville Pharmacy Limited,Unichem Hobsonville Pharmacy,Waitemata DHB,"Shop 7, Level 1 of Retail Block 2",124 Hobsonville Road,Hobsonville,Auckland,0618
Hobsonville Point Pharmacy Limited,Hobsonville Point Pharmacy Limited,Waitemata DHB,,"Shop 3B, 160 Hobsonville Point Road",Hobsonville,AUCKLAND,0616
Hokowhitu Pharmacy Limited,Hokowhitu Pharmacy Limited,MidCentral DHB,,360 Albert Street,Hokowhitu,PALMERSTON NORTH,4410
Hook Holdings Limited,Waimate Pharmacy,South Canterbury DHB,,84 Queen Street,,Waimate,7924
Hoon Hay Pharmacy Limited,Hoon Hay Pharmacy Limited,Canterbury DHB,,120 Sparks Road,Hoon Hay,CHRISTCHURCH,8025
Hornby Pharmacy Limited,Life Pharmacy Hornby,Canterbury DHB,"Shop 2, The Hub Hornby",418 Main South Road,Hornby,CHRISTCHURCH,8042
Hospital Health Pharmacy Limited,Hospital Health Pharmacy Limited,MidCentral DHB,,50 Ruahine Street,Roslyn,Palmerston North,4414
Howick Family Pharmacy Limited,John Savory Pharmacy,Counties Manukau DHB,,186A Wellington Street,Howick,AUCKLAND,2014
Howick Family Pharmacy Limited,Unichem John Savory Pharmacy,Counties Manukau DHB,,78 Vincent Street,Howick,AUCKLAND,2014
Howick House Dispensary 2001 Limited,Howick House Dispensary 2001 Limited,Counties Manukau DHB,,43 Moore Street,Howick,Auckland,2014
